eyesight_task,age,previous_accuracy_attempts,eyesight,workerid,comments,time_in_minutes,accuracy,language,gender
neither,23,[],none,0,Thank you!,9.3517,69,English,Female
neither,42,[2],nearsighted,1,,13.8455,51,English,Female
neither,45,[],none,2,,9.22935,73,English,Male
neither,33,[],none,3,Thank you for a fun and informative survey.,11.778583333333334,68,English,Male
neither,37,[3],nearsighted,4,,16.146683333333332,66,English,Female
neither,29,[],none,5,,11.770333333333333,53,English,Female
neither,36,[47],none,6,,8.673633333333333,58,english,Male
neither,44,[],none,7,weird stuff,11.198333333333334,58,English,Male
neither,30,[],none,8,,12.77275,53,english,Female
neither,28,"[20, 20, 26, 45, 43]",none,9,Great task,42.88968333333333,58,English,Male
neither,18,[],none,10,good pay,7.770833333333333,63,english,Male
contacts,32,[],nearsighted,11,,7.817116666666666,74,English,Female
neither,35,[14],none,12,,11.944533333333334,61,English,Female
neither,28,[],none,13,No,10.4565,61,English,Female
neither,41,[],none,14,,7.1231333333333335,81,English,Male
neither,32,[],none,15,,14.70775,52,English,Male
neither,41,[19],nearsighted,16,,19.98518333333333,72,polish,Female
