windowH,imageH,Browser,windowW,screenH,screenW,imageW,workerid,OS
650,500,Chrome,1831,1080,1920,167,0,Windows
768,500,Chrome,1293,768,1360,167,1,Windows
1278,500,Chrome,1192,1440,3440,167,2,Windows
639,500,Chrome,1306,768,1366,167,3,Linux
650,500,Chrome,1448,768,1366,167,4,Windows
650,500,Chrome,1299,768,1366,167,5,Windows
650,500,Chrome,1299,768,1366,167,6,Windows
722,500,Chrome,1470,864,1536,167,7,Windows
650,500,Chrome,1749,768,1366,167,8,Windows
789,500,Chrome,1533,900,1600,167,9,Windows
775,500,Chrome,1637,768,1366,167,10,Windows
650,500,Chrome,1448,768,1366,167,11,Windows
651,500,Chrome,1106,864,1536,167,12,Windows
722,500,Chrome,1470,864,1536,167,13,Windows
650,500,Chrome,2061,900,1600,167,14,Windows
723,500,Chrome,1470,864,1536,167,15,Windows
979,500,Chrome,1853,1080,1920,167,16,Windows
