imageW,windowH,Browser,OS,screenW,workerid,windowW,screenH,imageH
167,650,Chrome,Mac,1440,0,1390,900,500
167,1007,Chrome,Windows,1920,1,1853,1080,500
167,650,Chrome,Windows,1920,2,1853,1080,500
167,1010,Chrome,Mac,1920,3,1848,1200,500
167,657,Chrome,Windows,1366,4,1299,768,500
167,650,Chrome,Windows,1366,5,1299,768,500
167,650,Safari,Mac,1440,6,1214,900,500
167,650,Chrome,Windows,1600,7,1533,900,500
167,924,Chrome,Mac,1440,8,1772,900,500
167,647,Chrome,Windows,1366,9,1289,768,500
167,721,Chrome,Mac,1440,10,1423,900,500
167,650,Chrome,Mac,1440,11,1550,900,500
167,650,Chrome,Windows,1600,12,1533,900,500
167,650,Chrome,Linux,1366,13,1293,768,500
167,650,Chrome,Windows,1920,14,1680,1080,500
167,781,Chrome,Windows,1366,15,1636,768,500
167,650,Chrome,Windows,1366,16,1299,768,500
