imageH,imageW,screenH,screenW,windowW,Browser,OS,workerid,windowH
500,167,1080,1920,2083,Chrome,Windows,0,650
500,167,1050,1680,1367,Chrome,Mac,1,851
500,167,800,1280,1215,Chrome,Mac,2,650
500,167,900,1440,874,Chrome,Mac,3,650
500,167,900,1440,1002,Chrome,Mac,4,650
500,167,1080,1920,1853,Chrome,Windows,5,937
500,167,1080,1920,1102,Chrome,Windows,6,773
500,167,720,1280,1213,Chrome,Windows,7,650
500,167,800,1280,1215,Chrome,Mac,8,650
500,167,1003,1504,1454,Chrome,Windows,9,650
500,167,864,1536,1470,Chrome,Windows,10,650
500,167,768,1366,1299,Chrome,Windows,11,657
500,167,864,1536,1470,Chrome,Windows,12,754
500,167,720,1280,1529,Chrome,Windows,13,650
500,167,768,1366,1299,Chrome,Windows,14,650
500,167,864,1536,1470,Chrome,Windows,15,650
500,167,900,1440,1390,Chrome,Mac,16,714
